CN101010100, 北京
CN101140209, 萨嘎
CN101140210, 吉隆
CN101140211, 昂仁
CN101140212, 定结
CN101140213, 萨迦
CN101140214, 谢通门
CN101140215, 桑珠孜
CN101140216, 岗巴
CN101140217, 白朗
CN101140218, 亚东
CN101140219, 康马
CN101140220, 仁布
CN101140301, 山南
CN101140302, 贡嘎
CN101140303, 扎囊
CN101140304, 加查
CN101140305, 浪卡子
CN101140306, 错那
CN101140307, 隆子
CN101140309, 乃东
CN101140310, 桑日
CN101140311, 洛扎
CN101140312, 措美
CN101140313, 琼结
CN101140314, 曲松
CN101140401, 林芝
CN101140402, 波密
CN101140403, 米林
CN101140404, 察隅
CN101140405, 工布江达
CN101140406, 朗县
CN101140407, 墨脱
CN101140408, 巴宜
CN101140501, 昌都
CN101140502, 丁青
CN101140503, 边坝
CN101140504, 洛隆
CN101140505, 左贡
CN101140506, 芒康
CN101140507, 类乌齐
CN101140508, 八宿
CN101140509, 江达
CN101140510, 察雅
CN101140511, 贡觉
CN101140512, 卡若
CN101140601, 那曲
CN101140602, 尼玛
CN101140603, 嘉黎
CN101140604, 班戈
CN101140605, 安多
CN101140606, 索县
CN101140607, 聂荣
CN101140608, 巴青
CN101140609, 比如
CN101140610, 双湖
CN101140611, 申扎
CN101140701, 阿里
CN101140702, 改则
CN101140705, 普兰
CN101140706, 札达
CN101140707, 噶尔
CN101140708, 日土
CN101140709, 革吉
CN101140710, 措勤
CN101150101, 西宁
CN101150102, 大通
CN101150103, 湟源
CN101150104, 湟中
CN101150105, 城东
CN101150106, 城中
CN101150107, 城西
CN101150108, 城北
CN101150201, 平安
CN101150202, 乐都
CN101150203, 民和
CN101150204, 互助
CN101150205, 化隆
CN101150206, 循化
CN101150207, 海东
CN101150301, 同仁
CN101150302, 尖扎
CN101150303, 泽库
CN101150304, 河南
CN101150305, 黄南
CN101150401, 共和
CN101150402, 海南
CN101150404, 贵德
CN101150406, 兴海
CN101150407, 贵南
CN101150408, 同德
CN101150501, 玛沁
CN101150502, 班玛
CN101150503, 甘德
CN101150504, 达日
CN101150505, 久治
CN101150506, 玛多
CN101150507, 果洛
CN101150601, 玉树
CN101150602, 称多
CN101150603, 治多
CN101150604, 杂多
CN101150605, 囊谦
CN101150606, 曲麻莱
CN101150701, 德令哈
CN101150702, 海西
CN101150708, 天峻
CN101150709, 乌兰
CN101150712, 茫崖
CN101150713, 大柴旦
CN101150714, 格尔木
CN101150715, 都兰
CN101150716, 冷湖
CN101150801, 海晏
CN101150802, 门源
CN101150803, 祁连
CN101150804, 海北
CN101150806, 刚察
CN101160101, 兰州
CN101160102, 皋兰
CN101160103, 永登
CN101160104, 榆中
CN101160105, 城关
CN101160106, 七里河
CN101160107, 西固
CN101160108, 安宁
CN101160109, 红古
CN101160201, 定西
CN101160202, 通渭
CN101160203, 陇西
CN101160204, 渭源
CN101160205, 临洮
CN101160206, 漳县
CN101160207, 岷县
CN101160208, 安定
CN101160301, 平凉
CN101160302, 泾川
CN101160303, 灵台
CN101160304, 崇信
CN101160305, 华亭
INSERT INTO `city` `id`, `cityZh`
CN101160306, 庄浪
CN101160307, 静宁
CN101160308, 崆峒
CN101160401, 庆阳
CN101160402, 西峰
CN101160403, 环县
CN101160404, 华池
CN101160405, 合水
CN101160406, 正宁
CN101160407, 宁县
CN101160408, 镇原
CN101160409, 庆城
CN101160501, 武威
CN101160502, 民勤
CN101160503, 古浪
CN101160504, 凉州
CN101160505, 天祝
CN101160601, 金昌
CN101160602, 永昌
CN101160603, 金川
CN101160701, 张掖
CN101160702, 肃南
CN101160703, 民乐
CN101160704, 临泽
CN101160705, 高台
CN101160706, 山丹
CN101160707, 甘州
CN101160801, 酒泉
CN101160802, 肃州
CN101160803, 金塔
CN101160804, 阿克塞
CN101160805, 瓜州
CN101160806, 肃北
CN101160807, 玉门
CN101160808, 敦煌
CN101160901, 天水
CN101160902, 秦州
CN101160903, 清水
CN101160904, 秦安
CN101160905, 甘谷
CN101160906, 武山
CN101160907, 张家川
CN101160908, 麦积
CN101161001, 武都
CN101161002, 成县
CN101161003, 文县
CN101161004, 宕昌
CN101161005, 康县
CN101161006, 西和
CN101161007, 礼县
CN101161008, 徽县
CN101161009, 两当
CN101161010, 陇南
CN101161101, 临夏
CN101161102, 康乐
CN101161103, 永靖
CN101161104, 广河
CN101161105, 和政
CN101161106, 东乡
CN101161107, 积石山
CN101161201, 合作
CN101161202, 临潭
CN101161203, 卓尼
CN101161204, 舟曲
CN101161205, 迭部
CN101161206, 玛曲
CN101161207, 碌曲
CN101161208, 夏河
CN101161209, 甘南
CN101161301, 白银
CN101161302, 靖远
CN101161303, 会宁
CN101161304, 平川
CN101161305, 景泰
CN101161401, 嘉峪关
CN101170101, 银川
CN101170102, 永宁
CN101170103, 灵武
CN101170104, 贺兰
CN101170105, 兴庆
CN101170106, 西夏
CN101170107, 金凤
CN101170201, 石嘴山
CN101170202, 惠农
CN101170203, 平罗
CN101170204, 陶乐
CN101170205, 大武口
CN101170301, 吴忠
CN101170302, 同心
CN101170303, 盐池
CN101170304, 利通
CN101170305, 红寺堡
CN101170306, 青铜峡
CN101170401, 固原
CN101170402, 西吉
CN101170403, 隆德
CN101170404, 泾源
CN101170405, 原州
CN101170406, 彭阳
CN101170501, 中卫
CN101170502, 中宁
CN101170503, 沙坡头
CN101170504, 海原
CN101180101, 郑州
CN101180102, 巩义
CN101180103, 荥阳
CN101180104, 登封
CN101180105, 新密
CN101180106, 新郑
CN101180107, 中牟
CN101180108, 上街
CN101180109, 中原
CN101180110, 二七
CN101180111, 管城
CN101180112, 金水
CN101180113, 惠济
CN101180201, 安阳
CN101180202, 汤阴
CN101180203, 滑县
CN101180204, 内黄
CN101180205, 林州
CN101180206, 文峰
CN101180207, 北关
CN101180208, 殷都
CN101180209, 龙安
CN101180301, 新乡
CN101180302, 获嘉
CN101180303, 原阳
CN101180304, 辉县
CN101180305, 卫辉
CN101180306, 延津
CN101180307, 封丘
CN101180308, 长垣
CN101180309, 红旗
CN101180310, 卫滨
CN101180311, 凤泉
CN101180312, 牧野
CN101180401, 许昌
CN101180402, 鄢陵
CN101180403, 襄城
CN101180404, 长葛
CN101180405, 禹州
CN101180406, 魏都
CN101180501, 平顶山
CN101180502, 郏县
CN101180503, 宝丰
CN101180504, 汝州
CN101180505, 叶县
CN101180506, 舞钢
CN101180507, 鲁山
CN101180508, 石龙
CN101180509, 新华
CN101180510, 卫东
CN101180511, 湛河
CN101180601, 信阳
CN101180602, 息县
CN101180603, 罗山
CN101180604, 光山
CN101180605, 新县
CN101180606, 淮滨
CN101180607, 潢川
CN101180608, 固始
CN101180609, 商城
CN101180610, 浉河
CN101180611, 平桥
CN101180701, 南阳
CN101180702, 南召
CN101180703, 方城
CN101180704, 社旗
CN101180705, 西峡
CN101180706, 内乡
CN101180707, 镇平
CN101180708, 淅川
CN101180709, 新野
CN101180710, 唐河
CN101180711, 邓州
CN101180712, 桐柏
CN101180713, 宛城
CN101180714, 卧龙
CN101180801, 开封
CN101180802, 杞县
CN101180803, 尉氏
CN101180804, 通许
CN101180805, 兰考
CN101180806, 龙亭
CN101180807, 顺河
CN101180808, 鼓楼
CN101180809, 禹王台
CN101180810, 祥符
CN101180901, 洛阳
CN101180902, 新安
CN101180903, 孟津
CN101180904, 宜阳
CN101180905, 洛宁
CN101180906, 伊川
CN101180907, 嵩县
CN101180908, 偃师
CN101180909, 栾川
CN101180910, 汝阳
CN101180911, 吉利
CN101180912, 老城
CN101180913, 西工
CN101180914, 瀍河
CN101180915, 涧西
CN101180916, 洛龙
CN101181001, 商丘
CN101181002, 梁园
CN101181003, 睢县
CN101181004, 民权
CN101181005, 虞城
CN101181006, 柘城
CN101181007, 宁陵
CN101181008, 夏邑
CN101181009, 永城
CN101181010, 睢阳
CN101181101, 焦作
CN101181102, 修武
CN101181103, 武陟
CN101181104, 沁阳
CN101181105, 解放
CN101181106, 博爱
CN101181107, 温县
CN101181108, 孟州
CN101181109, 中站
CN101181110, 马村
CN101181111, 山阳
CN101181201, 鹤壁
CN101181202, 浚县
CN101181203, 淇县
CN101181204, 鹤山
CN101181205, 山城
CN101181206, 淇滨
CN101181301, 濮阳
CN101181302, 台前
CN101181303, 南乐
CN101181304, 清丰
CN101181305, 范县
CN101181306, 华龙
CN101181401, 周口
CN101181402, 扶沟
CN101181403, 太康
CN101181404, 淮阳
CN101181405, 西华
CN101181406, 商水
CN101181407, 项城
CN101181408, 郸城
CN101181409, 鹿邑
CN101181410, 沈丘
CN101181411, 川汇
CN101181501, 漯河
CN101181502, 临颍
CN101181503, 舞阳
CN101181504, 源汇
CN101181505, 郾城
CN101181506, 召陵
CN101181601, 驻马店
CN101181602, 西平
CN101181603, 遂平
CN101181604, 上蔡
CN101181605, 汝南
CN101181606, 泌阳
CN101181607, 平舆
CN101181608, 新蔡
CN101181609, 确山
CN101181610, 正阳
CN101181611, 驿城
CN101181701, 三门峡
CN101181702, 灵宝
CN101181703, 渑池
CN101181704, 卢氏
CN101181705, 义马
CN101181706, 陕县
CN101181707, 湖滨
CN101181708, 陕州
CN101181801, 济源
CN101190101, 南京
CN101190102, 溧水
CN101190103, 高淳
CN101190104, 江宁
CN101190105, 六合
CN101190107, 浦口
CN101190108, 玄武
CN101190109, 秦淮
CN101190110, 建邺
CN101190111, 鼓楼
CN101190112, 栖霞
CN101190113, 雨花台
CN101190201, 无锡
CN101190202, 江阴
CN101190203, 宜兴
CN101190204, 锡山
CN101190205, 惠山
CN101190206, 滨湖
CN101190207, 梁溪
CN101190208, 新吴
CN101190301, 镇江
CN101190302, 丹阳
CN101190303, 扬中
CN101190304, 句容
CN101190305, 丹徒
CN101190306, 京口
CN101190307, 润州
CN101190401, 苏州
CN101190402, 常熟
CN101190403, 张家港
CN101190404, 昆山
CN101190405, 吴中
CN101190406, 虎丘
CN101190407, 吴江
CN101190408, 太仓
CN101190409, 相城
CN101190410, 姑苏
CN101190501, 南通
CN101190502, 海安
CN101190503, 如皋
CN101190504, 如东
CN101190505, 崇川
CN101190506, 港闸
CN101190507, 启东
CN101190508, 海门
CN101190509, 通州
CN101190601, 扬州
CN101190602, 宝应
CN101190603, 仪征
CN101190604, 高邮
CN101190605, 江都
CN101190606, 邗江
CN101190607, 广陵
CN101190701, 盐城
CN101190702, 响水
CN101190703, 滨海
CN101190704, 阜宁
CN101190705, 射阳
CN101190706, 建湖
CN101190707, 东台
CN101190708, 大丰
CN101190709, 盐都
CN101190710, 亭湖
CN101190801, 徐州
CN101190802, 铜山
CN101190803, 丰县
CN101190804, 沛县
CN101190805, 邳州
CN101190806, 睢宁
CN101190807, 新沂
CN101190808, 鼓楼
CN101190809, 云龙
CN101190810, 贾汪
CN101190811, 泉山
CN101190901, 淮安
CN101190902, 金湖
CN101190903, 盱眙
CN101190904, 洪泽
CN101190905, 涟水
CN101190906, 淮阴区
CN101190907, 清河
CN101190908, 淮安区
CN101190909, 清浦
CN101191001, 连云港
CN101191002, 东海
CN101191003, 赣榆
CN101191004, 灌云
CN101191005, 灌南
CN101191006, 海州
CN101191101, 常州
CN101191102, 溧阳
CN101191103, 金坛
CN101191104, 武进
CN101191105, 天宁
CN101191106, 钟楼
CN101191107, 新北
CN101191201, 泰州
CN101191202, 兴化
CN101191203, 泰兴
CN101191204, 姜堰
CN101191205, 靖江
CN101191206, 海陵
CN101191207, 高港
CN101191301, 宿迁
CN101191302, 沭阳
CN101191303, 泗阳
CN101191304, 泗洪
CN101191305, 宿豫
CN101191306, 宿城
CN101200101, 武汉
CN101200102, 蔡甸
CN101200103, 黄陂
CN101200104, 新洲
CN101200105, 江夏
CN101200106, 东西湖
CN101200107, 江岸
CN101200108, 江汉
CN101200109, 硚口
CN101200110, 汉阳
CN101200111, 武昌
CN101200112, 青山
CN101200113, 洪山
CN101200114, 汉南
CN101200201, 襄阳
CN101200202, 襄州
CN101200203, 保康
CN101200204, 南漳
CN101200205, 宜城
CN101200206, 老河口
CN101200207, 谷城
CN101200208, 枣阳
CN101200209, 襄城
CN101200210, 樊城
CN101200301, 鄂州
CN101200302, 梁子湖
CN101200303, 华容
CN101200304, 鄂城
CN101200401, 孝感
CN101200402, 安陆
CN101200403, 云梦
CN101200404, 大悟
CN101200405, 应城
CN101200406, 汉川
CN101200407, 孝昌
CN101200408, 孝南
CN101200501, 黄冈
CN101200502, 红安
CN101200503, 麻城
CN101200504, 罗田
CN101200505, 英山
CN101200506, 浠水
CN101200507, 蕲春
CN101200508, 黄梅
CN101200509, 武穴
CN101200510, 团风
CN101200511, 黄州
CN101200601, 黄石
CN101200602, 大冶
CN101200603, 阳新
CN101200604, 铁山
CN101200605, 下陆
CN101200606, 西塞山
CN101200607, 黄石港
CN101200701, 咸宁
CN101200702, 赤壁
CN101200703, 嘉鱼
CN101200704, 崇阳
CN101200705, 通城
CN101200706, 通山
CN101200707, 咸安
CN101200801, 荆州
CN101200802, 江陵
CN101200803, 公安
CN101200804, 石首
CN101200805, 监利
CN101200806, 洪湖
CN101200807, 松滋
CN101200808, 沙市
CN101200901, 宜昌
CN101200902, 远安
CN101200903, 秭归
CN101200904, 兴山
CN101200905, 西陵
CN101200906, 五峰
CN101200907, 当阳
CN101200908, 长阳
CN101200909, 宜都
CN101200910, 枝江
CN101200912, 夷陵
CN101200913, 伍家岗
CN101200914, 点军
CN101200915, 猇亭
INSERT INTO `city` `id`, `cityZh`
CN101201001, 恩施
CN101201002, 利川
CN101201003, 建始
CN101201004, 咸丰
CN101201005, 宣恩
CN101201006, 鹤峰
CN101201007, 来凤
CN101201008, 巴东
CN101201101, 十堰
CN101201102, 竹溪
CN101201103, 郧西
CN101201104, 郧阳
CN101201105, 竹山
CN101201106, 房县
CN101201107, 丹江口
CN101201108, 茅箭
CN101201109, 张湾
CN101201201, 神农架
CN101201301, 随州
CN101201302, 广水
CN101201303, 曾都
CN101201304, 随县
CN101201401, 荆门
CN101201402, 钟祥
CN101201403, 京山
CN101201404, 掇刀
CN101201405, 沙洋
CN101201406, 东宝
CN101201501, 天门
CN101201601, 仙桃
CN101201701, 潜江
CN101210101, 杭州
CN101210102, 萧山
CN101210103, 桐庐
CN101210104, 淳安
CN101210105, 建德
CN101210106, 余杭
CN101210107, 临安
CN101210108, 富阳
CN101210109, 上城
CN101210110, 下城
CN101210111, 江干
CN101210112, 拱墅
CN101210113, 西湖
CN101210114, 滨江
CN101210201, 湖州
CN101210202, 长兴
CN101210203, 安吉
CN101210204, 德清
CN101210205, 吴兴
CN101210206, 南浔
CN101210301, 嘉兴
CN101210302, 嘉善
CN101210303, 海宁
CN101210304, 桐乡
CN101210305, 平湖
CN101210306, 海盐
CN101210307, 南湖
CN101210308, 秀洲
CN101210401, 宁波
CN101210402, 海曙
CN101210403, 慈溪
CN101210404, 余姚
CN101210405, 奉化
CN101210406, 象山
CN101210407, 江东
CN101210408, 宁海
CN101210409, 江北
CN101210410, 北仑
CN101210411, 鄞州
CN101210412, 镇海
CN101210501, 越城
CN101210502, 诸暨
CN101210503, 上虞
CN101210504, 新昌
CN101210505, 嵊州
CN101210506, 柯桥
CN101210507, 绍兴
CN101210601, 台州
CN101210603, 玉环
CN101210604, 三门
CN101210605, 天台
CN101210606, 仙居
CN101210607, 温岭
CN101210610, 临海
CN101210611, 椒江
CN101210612, 黄岩
CN101210613, 路桥
CN101210701, 温州
CN101210702, 泰顺
CN101210703, 文成
CN101210704, 平阳
CN101210705, 瑞安
CN101210706, 洞头
CN101210707, 乐清
CN101210708, 永嘉
CN101210709, 苍南
CN101210710, 鹿城
CN101210711, 龙湾
CN101210712, 瓯海
CN101210801, 丽水
CN101210802, 遂昌
CN101210803, 龙泉
CN101210804, 缙云
CN101210805, 青田
CN101210806, 云和
CN101210807, 庆元
CN101210808, 松阳
CN101210809, 景宁
CN101210810, 莲都
CN101210901, 金华
CN101210902, 浦江
CN101210903, 兰溪
CN101210904, 义乌
CN101210905, 东阳
CN101210906, 武义
CN101210907, 永康
CN101210908, 磐安
CN101210909, 婺城
CN101210910, 金东
CN101211001, 衢州
CN101211002, 常山
CN101211003, 开化
CN101211004, 龙游
CN101211005, 江山
CN101211006, 衢江
CN101211007, 柯城
CN101211101, 舟山
CN101211102, 嵊泗
CN101211104, 岱山
CN101211105, 普陀
CN101211106, 定海
CN101220101, 合肥
CN101220102, 长丰
CN101220103, 肥东
CN101220104, 肥西
CN101220105, 巢湖
CN101220106, 庐江
CN101220107, 瑶海
CN101220108, 庐阳
CN101220109, 蜀山
CN101220110, 包河
CN101220201, 蚌埠
CN101220202, 怀远
CN101220203, 固镇
CN101220204, 五河
CN101220205, 龙子湖
CN101220206, 蚌山
CN101220207, 禹会
CN101220208, 淮上
CN101220301, 芜湖
CN101220302, 繁昌
CN101220303, 芜湖县
CN101220304, 南陵
CN101220305, 无为
CN101220306, 镜湖
CN101220307, 弋江
CN101220308, 鸠江
CN101220309, 三山
CN101220401, 淮南
CN101220402, 凤台
CN101220403, 潘集
CN101220404, 大通
CN101220405, 田家庵
CN101220406, 谢家集
CN101220407, 八公山
CN101220408, 寿县
CN101220501, 马鞍山
CN101220502, 当涂
CN101220503, 含山
CN101220504, 和县
CN101220505, 花山
CN101220506, 雨山
CN101220507, 博望
CN101220601, 安庆
CN101220603, 太湖
CN101220604, 潜山
CN101220605, 怀宁
CN101220606, 宿松
CN101220607, 望江
CN101220608, 岳西
CN101220609, 桐城
CN101220610, 迎江
CN101220611, 大观
CN101220612, 宜秀
CN101220701, 宿州
CN101220702, 砀山
CN101220703, 灵璧
CN101220704, 泗县
CN101220705, 萧县
CN101220706, 埇桥
CN101220801, 阜阳
CN101220802, 阜南
CN101220803, 颍上
CN101220804, 临泉
CN101220805, 界首
CN101220806, 太和
CN101220807, 颍州
CN101220808, 颍东
CN101220809, 颍泉
CN101220901, 亳州
CN101220902, 涡阳
CN101220903, 利辛
CN101220904, 蒙城
CN101220905, 谯城
CN101221001, 黄山
CN101221002, 黄山区
CN101221003, 屯溪
CN101221004, 祁门
CN101221005, 黟县
CN101221006, 歙县
CN101221007, 休宁
CN101221009, 徽州
CN101221101, 滁州
CN101221102, 凤阳
CN101221103, 明光
CN101221104, 定远
CN101221105, 全椒
CN101221106, 来安
CN101221107, 天长
CN101221108, 琅琊
CN101221109, 南谯
CN101221201, 淮北
CN101221202, 濉溪
CN101221203, 杜集
CN101221204, 相山
CN101221205, 烈山
CN101221301, 铜陵
CN101221302, 铜官
CN101221303, 义安
CN101221304, 郊区
CN101221305, 枞阳
CN101221401, 宣城
CN101221402, 泾县
CN101221403, 旌德
CN101221404, 宁国
CN101221405, 绩溪
CN101221406, 广德
CN101221407, 郎溪
CN101221408, 宣州
CN101221501, 六安
CN101221502, 霍邱
CN101221504, 金安
CN101221505, 金寨
CN101221506, 霍山
CN101221507, 舒城
CN101221508, 裕安
CN101221509, 叶集
CN101221701, 池州
CN101221702, 东至
CN101221703, 青阳
CN101221704, 九华山
CN101221705, 石台
CN101221706, 贵池
CN101230101, 福州
CN101230102, 闽清
CN101230103, 闽侯
CN101230104, 罗源
CN101230105, 连江
CN101230106, 鼓楼
CN101230107, 永泰
CN101230108, 平潭
CN101230109, 台江
CN101230110, 长乐
CN101230111, 福清
CN101230112, 仓山
CN101230113, 马尾
CN101230114, 晋安
CN101230201, 厦门
CN101230202, 同安
CN101230203, 思明
CN101230204, 海沧
CN101230205, 湖里
CN101230206, 集美
CN101230207, 翔安
CN101230301, 宁德
CN101230302, 古田
CN101230303, 霞浦
CN101230304, 寿宁
CN101230305, 周宁
CN101230306, 福安
CN101230307, 柘荣
CN101230308, 福鼎
CN101230309, 屏南
CN101230310, 蕉城
CN101230401, 莆田
CN101230402, 仙游
CN101230404, 涵江
CN101230405, 秀屿
CN101230406, 荔城
CN101230407, 城厢
CN101230501, 泉州
CN101230502, 安溪
CN101230503, 金门
CN101230504, 永春
CN101230505, 德化
CN101230506, 南安
CN101230508, 惠安
CN101230509, 晋江
CN101230510, 石狮
CN101230511, 鲤城
CN101230512, 丰泽
CN101230513, 洛江
CN101230514, 泉港
CN101230601, 漳州
CN101230602, 长泰
CN101230603, 南靖
CN101230604, 平和
CN101230605, 龙海
CN101230606, 漳浦
CN101230607, 诏安
CN101230608, 东山
CN101230609, 云霄
CN101230610, 华安
CN101230611, 芗城
CN101230612, 龙文
CN101230701, 龙岩
CN101230702, 长汀
CN101230703, 连城
CN101230704, 武平
CN101230705, 上杭
CN101230706, 永定
CN101230707, 漳平
CN101230708, 新罗
CN101230801, 三明
CN101230802, 宁化
CN101230803, 清流
CN101230804, 泰宁
CN101230805, 将乐
CN101230806, 建宁
CN101230807, 明溪
CN101230808, 沙县
CN101230809, 尤溪
CN101230810, 永安
CN101230811, 大田
CN101230812, 梅列
CN101230813, 三元
CN101230901, 南平
CN101230902, 顺昌
CN101230903, 光泽
CN101230904, 邵武
CN101230905, 武夷山
CN101230906, 浦城
CN101230907, 建阳
CN101230908, 松溪
CN101230909, 政和
CN101230910, 建瓯
CN101230911, 延平
CN101231001, 钓鱼岛
CN101240101, 南昌
CN101240102, 新建
CN101240103, 南昌县
CN101240104, 安义
CN101240105, 进贤
CN101240106, 东湖
CN101240107, 西湖
CN101240108, 青云谱
CN101240109, 湾里
CN101240110, 青山湖
CN101240201, 九江
CN101240202, 瑞昌
CN101240203, 庐山
CN101240204, 武宁
CN101240205, 德安
CN101240206, 永修
CN101240207, 湖口
CN101240208, 彭泽
CN101240209, 星子
CN101240210, 都昌
CN101240211, 浔阳
CN101240212, 修水
CN101240213, 共青城
CN101240214, 濂溪
CN101240301, 上饶
CN101240302, 鄱阳
CN101240303, 婺源
CN101240304, 信州
CN101240305, 余干
CN101240306, 万年
CN101240307, 德兴
CN101240308, 上饶县
CN101240309, 弋阳
CN101240310, 横峰
CN101240311, 铅山
CN101240312, 玉山
CN101240313, 广丰
CN101240401, 抚州
CN101240402, 广昌
CN101240403, 乐安
CN101240404, 崇仁
CN101240405, 金溪
CN101240406, 资溪
CN101240407, 宜黄
CN101240408, 南城
CN101240409, 南丰
CN101240410, 黎川
CN101240411, 东乡
CN101240412, 临川
CN101240501, 宜春
CN101240502, 铜鼓
CN101240503, 宜丰
CN101240504, 万载
CN101240505, 上高
CN101240506, 靖安
CN101240507, 奉新
CN101240508, 高安
CN101240509, 樟树
CN101240510, 丰城
CN101240511, 袁州
CN101240601, 吉安
CN101240602, 吉安县
CN101240603, 吉水
CN101240604, 新干
CN101240605, 峡江
CN101240606, 永丰
CN101240607, 永新
CN101240608, 井冈山
CN101240609, 万安
CN101240610, 遂川
CN101240611, 泰和
CN101240612, 安福
CN101240614, 吉州
CN101240615, 青原
CN101240701, 赣州
CN101240702, 崇义
CN101240703, 上犹
CN101240704, 南康
CN101240705, 大余
CN101240706, 信丰
CN101240707, 宁都
CN101240708, 石城
CN101240709, 瑞金
CN101240710, 于都
CN101240711, 会昌
CN101240712, 安远
CN101240713, 全南
CN101240714, 龙南
CN101240715, 定南
CN101240716, 寻乌
CN101240717, 兴国
CN101240718, 赣县
CN101240719, 章贡
CN101240801, 景德镇
CN101240802, 乐平
CN101240803, 浮梁
CN101240804, 昌江
CN101240805, 珠山
CN101240901, 萍乡
CN101240902, 莲花
CN101240903, 上栗
CN101240904, 安源
CN101240905, 芦溪
CN101240906, 湘东
CN101241001, 新余
CN101241002, 分宜
CN101241003, 渝水
CN101241101, 鹰潭
CN101241102, 余江
CN101241103, 贵溪
CN101241104, 月湖
CN101250101, 长沙
CN101250102, 宁乡
CN101250103, 浏阳
CN101250104, 湘江新区
CN101250105, 望城
CN101250106, 长沙县
INSERT INTO `city` `id`, `cityZh`
CN101250107, 芙蓉
CN101250108, 天心
CN101250109, 岳麓
CN101250110, 开福
CN101250111, 雨花
CN101250201, 湘潭
CN101250202, 韶山
CN101250203, 湘乡
CN101250204, 雨湖
CN101250205, 岳塘
CN101250301, 株洲
CN101250302, 攸县
CN101250303, 醴陵
CN101250304, 荷塘
CN101250305, 茶陵
CN101250306, 炎陵
CN101250307, 芦淞
CN101250308, 石峰
CN101250309, 天元
CN101250401, 衡阳
CN101250402, 衡山
CN101250403, 衡东
CN101250404, 祁东
CN101250405, 衡阳县
CN101250406, 常宁
CN101250407, 衡南
CN101250408, 耒阳
CN101250409, 南岳
CN101250410, 珠晖
CN101250411, 雁峰
CN101250412, 石鼓
CN101250413, 蒸湘
CN101250501, 郴州
CN101250502, 桂阳
CN101250503, 嘉禾
CN101250504, 宜章
CN101250505, 临武
CN101250506, 北湖
CN101250507, 资兴
CN101250508, 汝城
CN101250509, 安仁
CN101250510, 永兴
CN101250511, 桂东
CN101250512, 苏仙
CN101250601, 常德
CN101250602, 安乡
CN101250603, 桃源
CN101250604, 汉寿
CN101250605, 澧县
CN101250606, 临澧
CN101250607, 石门
CN101250608, 津市
CN101250609, 武陵
CN101250610, 鼎城
CN101250700, 益阳
CN101250701, 赫山区
CN101250702, 南县
CN101250703, 桃江
CN101250704, 安化
CN101250705, 沅江
CN101250706, 资阳
CN101250801, 娄底
CN101250802, 双峰
CN101250803, 冷水江
CN101250804, 娄星
CN101250805, 新化
CN101250806, 涟源
CN101250901, 邵阳
CN101250902, 隆回
CN101250903, 洞口
CN101250904, 新邵
CN101250905, 邵东
CN101250906, 绥宁
CN101250907, 新宁
CN101250908, 武冈
CN101250909, 城步
CN101250910, 邵阳县
CN101250911, 双清
CN101250912, 大祥
CN101250913, 北塔
CN101251001, 岳阳
CN101251002, 华容
CN101251003, 湘阴
CN101251004, 汨罗
CN101251005, 平江
CN101251006, 临湘
CN101251007, 岳阳楼区
CN101251008, 云溪
CN101251009, 君山
CN101251101, 张家界
CN101251102, 桑植
CN101251103, 慈利
CN101251104, 武陵源
CN101251105, 永定
CN101251201, 怀化
CN101251202, 鹤城
CN101251203, 沅陵
CN101251204, 辰溪
CN101251205, 靖州
CN101251206, 会同
CN101251207, 通道
CN101251208, 麻阳
CN101251209, 新晃
CN101251210, 芷江
CN101251211, 溆浦
CN101251212, 中方
CN101251213, 洪江
CN101251401, 永州
CN101251402, 祁阳
CN101251403, 东安
CN101251404, 双牌
CN101251405, 道县
CN101251406, 宁远
CN101251407, 江永
CN101251408, 蓝山
CN101251409, 新田
CN101251410, 江华
CN101251411, 冷水滩
CN101251412, 零陵
CN101251501, 吉首
CN101251502, 保靖
CN101251503, 永顺
CN101251504, 古丈
CN101251505, 凤凰
CN101251506, 泸溪
CN101251507, 龙山
CN101251508, 花垣
CN101251509, 湘西
CN101260101, 贵阳
CN101260102, 白云
CN101260103, 花溪
CN101260104, 乌当
CN101260105, 息烽
CN101260106, 开阳
CN101260107, 修文
CN101260108, 清镇
CN101260110, 云岩
CN101260111, 南明
CN101260112, 观山湖
CN101260201, 遵义
CN101260202, 遵义县
CN101260203, 仁怀
CN101260204, 绥阳
CN101260205, 湄潭
CN101260206, 凤冈
CN101260207, 桐梓
CN101260208, 赤水
CN101260209, 习水
CN101260210, 道真
CN101260211, 正安
CN101260212, 务川
CN101260213, 余庆
CN101260214, 汇川
CN101260215, 红花岗
CN101260216, 播州
CN101260301, 安顺
CN101260302, 普定
CN101260303, 镇宁
CN101260304, 平坝
CN101260305, 紫云
CN101260306, 关岭
CN101260307, 西秀
CN101260401, 都匀
CN101260402, 贵定
CN101260403, 瓮安
CN101260404, 长顺
CN101260405, 福泉
CN101260406, 惠水
CN101260407, 龙里
CN101260408, 罗甸
CN101260409, 平塘
CN101260410, 独山
CN101260411, 三都
CN101260412, 荔波
CN101260413, 黔南
CN101260501, 凯里
CN101260502, 岑巩
CN101260503, 施秉
CN101260504, 镇远
CN101260505, 黄平
CN101260506, 黔东南
CN101260507, 麻江
CN101260508, 丹寨
CN101260509, 三穗
CN101260510, 台江
CN101260511, 剑河
